#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate.Subsampled_Continents_aligned_N5000_subsampled	gammaShape.Subsampled_Continents_aligned_N5000_subsampled	rateAC.Subsampled_Continents_aligned_N5000_subsampled	rateAG.Subsampled_Continents_aligned_N5000_subsampled	rateAT.Subsampled_Continents_aligned_N5000_subsampled	rateCG.Subsampled_Continents_aligned_N5000_subsampled	rateGT.Subsampled_Continents_aligned_N5000_subsampled	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.1	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.2	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.3	freqParameter.Subsampled_Continents_aligned_N5000_subsampled.4	popSize	CoalescentConstant	rateIndicator.Continent.1	rateIndicator.Continent.2	rateIndicator.Continent.3	rateIndicator.Continent.4	rateIndicator.Continent.5	rateIndicator.Continent.6	rateIndicator.Continent.7	rateIndicator.Continent.8	rateIndicator.Continent.9	rateIndicator.Continent.10	rateIndicator.Continent.11	rateIndicator.Continent.12	rateIndicator.Continent.13	rateIndicator.Continent.14	rateIndicator.Continent.15	relativeGeoRates.Continent.1	relativeGeoRates.Continent.2	relativeGeoRates.Continent.3	relativeGeoRates.Continent.4	relativeGeoRates.Continent.5	relativeGeoRates.Continent.6	relativeGeoRates.Continent.7	relativeGeoRates.Continent.8	relativeGeoRates.Continent.9	relativeGeoRates.Continent.10	relativeGeoRates.Continent.11	relativeGeoRates.Continent.12	relativeGeoRates.Continent.13	relativeGeoRates.Continent.14	relativeGeoRates.Continent.15	traitClockRate.Continent	geoSubstModelLogger.Continent.relGeoRate_Africa_Asia	geoSubstModelLogger.Continent.relGeoRate_Africa_Europe	geoSubstModelLogger.Continent.relGeoRate_Africa_North_America	geoSubstModelLogger.Continent.relGeoRate_Africa_Oceania	geoSubstModelLogger.Continent.relGeoRate_Africa_South_America	geoSubstModelLogger.Continent.relGeoRate_Asia_Europe	geoSubstModelLogger.Continent.relGeoRate_Asia_North_America	geoSubstModelLogger.Continent.relGeoRate_Asia_Oceania	geoSubstModelLogger.Continent.relGeoRate_Asia_South_America	geoSubstModelLogger.Continent.relGeoRate_Europe_North_America	geoSubstModelLogger.Continent.relGeoRate_Europe_Oceania	geoSubstModelLogger.Continent.relGeoRate_Europe_South_America	geoSubstModelLogger.Continent.relGeoRate_North_America_Oceania	geoSubstModelLogger.Continent.relGeoRate_North_America_South_America	geoSubstModelLogger.Continent.relGeoRate_Oceania_South_America	YuleModel	birthRate
0	-460291.9530487038	-398671.4199924878	-61620.533056215965	-386059.5318447598	107.39734670820799	507.4497346339169	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	0.3	-10553.673194633435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-51013.87608391116	1.0
1000	-378106.15258568386	-347387.678314534	-30718.47427114981	-339416.2126009301	108.14823989000114	972.2980260606984	0.6425018738032168	0.9227195339570496	2.1757776757573373	1.0463159384831098	0.9353535893307736	0.5429964020566356	0.8997559215570867	0.20087312554149578	0.23847177137609102	0.2047799612810795	0.3558751418013338	7.941742611934134	-14015.86702787289	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1.0113259231128087	1.022646216795612	0.890357406498354	0.9672027139417307	0.9888681061233601	1.0951653008125553	0.9741798205961781	1.034339738127802	0.8660903256114972	1.1586729542371565	1.1155526930602067	0.9456947518425082	0.9557187919389788	1.0094915047308157	0.8805802781734099	6.675277400144346	1.0113259231128087	0.0	0.890357406498354	0.0	0.0	1.0951653008125553	0.9741798205961781	1.034339738127802	0.8660903256114972	1.1586729542371565	1.1155526930602067	0.0	0.9557187919389788	0.0	0.8805802781734099	-16656.32463051683	0.09721461879411004
2000	-354708.39044988673	-323781.28236196097	-30927.108087925746	-315866.99493090145	108.29599774247109	1005.4699988604376	0.5160796199794536	0.7799597098153614	1.8147217700228475	1.5110370452036022	0.6814450437814408	0.7067067022137871	0.3545682370900945	0.21130348809718932	0.15260221647995562	0.2558302770063554	0.3802640184164997	7.276312370332551	-14221.669996984569	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0.9760241412228279	1.1307240288285925	0.8457361776006155	0.9759586689640194	0.999126003516418	1.128339705950239	0.9907443300298787	1.1925951332096123	0.8522539020579349	1.1990552245094679	1.2297209715931376	1.0782854842459462	0.9549037670045496	1.1568662047867706	0.8123203240887765	5.171993202659947	0.9760241412228279	0.0	0.8457361776006155	0.0	0.0	1.128339705950239	0.9907443300298787	1.1925951332096123	0.8522539020579349	1.1990552245094679	1.2297209715931376	0.0	0.9549037670045496	0.0	0.8123203240887765	-16659.54943120727	0.09721461879411004
3000	-354132.45942926005	-323162.84442787356	-30969.615001386504	-315261.84330063144	108.29599774247109	1011.4960812606224	0.5160796199794536	0.7799597098153614	1.8147217700228475	1.5110370452036022	0.6814450437814408	0.7067067022137871	0.3545682370900945	0.21130348809718932	0.15260221647995562	0.2558302770063554	0.3802640184164997	7.276312370332551	-14263.546593425539	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1.052317021400159	1.1152888700508192	0.8358219048311849	0.9164834556978767	0.9419975589990666	1.2938751782131153	1.0043457593430716	1.218958750315076	0.8745041005973234	1.1680201272217274	1.2236476932092226	1.0806845717988764	0.9545306095412803	1.1649481250422784	0.7491841559923582	5.0324665272432	1.052317021400159	0.0	0.8358219048311849	0.0	0.0	1.2938751782131153	1.0043457593430716	1.218958750315076	0.8745041005973234	1.1680201272217274	1.2236476932092226	0.0	0.9545306095412803	0.0	0.7491841559923582	-16660.13525451063	0.09721461879411004
4000	-343655.79723450553	-312921.19191026554	-30734.605324240016	-305043.7109796944	108.35645453045456	992.3696403896577	0.5809667788343664	0.5037116892298177	2.1356837396823574	2.0143069257348474	0.47884306348691436	0.8396764792362978	0.26899112177078116	0.23705084409828683	0.1201093741618909	0.19165198270973471	0.4511877990300876	7.276312370332551	-14029.867720590983	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1.0435075207162763	1.1062621164489808	0.8107133203528522	0.8656384691589405	0.9533703322346505	1.2933768258106784	1.0546168314881192	1.3713506287805117	0.8721453986599237	1.2036128863326638	1.2709242136144403	0.9902501499530378	0.9560538218107686	1.1140945266686701	0.6728806861628182	5.33219749168515	1.0435075207162763	0.0	0.8107133203528522	0.0	0.0	1.2933768258106784	1.0546168314881192	1.3713506287805117	0.8721453986599237	1.2036128863326638	1.2709242136144403	0.0	0.9560538218107686	0.0	0.6728806861628182	-16658.275884852395	0.09721461879411004
5000	-342841.50149901607	-312064.67126469145	-30776.83023432459	-304200.69467740133	108.30828619645342	991.8183642049869	0.5809667788343664	0.5037116892298177	2.1356837396823574	2.0143069257348474	0.47884306348691436	0.8396764792362978	0.26899112177078116	0.23705084409828683	0.1201093741618909	0.19165198270973471	0.4511877990300876	7.276312370332551	-14071.78488935981	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1.0820073933599443	1.0973947926006538	0.7923436394218931	0.8716714611622738	0.9382856733324246	1.431070183271257	1.013324703447385	1.4267088619924218	0.9109426870066769	1.3884334135302225	1.2384133045378178	1.0597673925810303	0.9431924038309683	1.0879359811986729	0.6684135724418726	5.280554102957361	1.0820073933599443	0.0	0.7923436394218931	0.0	0.0	1.431070183271257	1.013324703447385	1.4267088619924218	0.9109426870066769	1.3884334135302225	1.2384133045378178	0.0	0.9431924038309683	0.0	0.6684135724418726	-16658.22229274823	0.09721461879411004
6000	-339837.41038519476	-305259.5697233336	-34577.84066186119	-297485.1750602119	108.24641779520618	1291.4350023746456	0.23150787563988837	0.36596106471016787	1.7235590028225756	1.5427902969841143	0.378868683624814	0.801563242094581	0.2047014344885225	0.1867357401840498	0.17971319139755498	0.26690827370063125	0.36664279471776384	7.276312370332551	-17844.01647565206	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1.1203404630688951	1.0799092038047007	0.8166389849164271	0.7669685197911478	0.9672631393168463	1.3913428578493345	1.0722747920862505	1.4664170380990322	0.8934425132460821	1.4506511960923925	1.2820087709880916	0.9962887672190137	0.9184590009465364	1.0524193002796167	0.6687187703154962	3.4405841557617407	1.1203404630688951	1.0799092038047007	0.8166389849164271	0.0	0.0	1.3913428578493345	1.0722747920862505	1.4664170380990322	0.0	1.4506511960923925	1.2820087709880916	0.0	0.9184590009465364	1.0524193002796167	0.6687187703154962	-16687.349410012288	0.09721461879411004
7000	-326115.8858530469	-291050.52932484524	-35065.356528201664	-283321.6342416578	108.7378007977164	1391.313763798737	0.3704752541192148	0.4076601209924466	1.0493560584597952	3.1828955521203555	0.22046940633900988	0.810126137987597	0.3319185775409399	0.19420106495913905	0.18739537388115424	0.2565173355861393	0.36188622557356737	11.056123815286742	-18321.558202570577	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0.9701029920964088	0.9762724596516622	0.8372119395173563	0.8493548832678418	0.9867108039027462	1.3751816254989813	1.100272107888638	1.5767847469944924	0.8808199533373119	1.3937473312338868	1.163667501006328	0.9885758205481405	0.904779183021553	1.0830774081217442	0.6458513992187568	3.164612273538255	0.9701029920964088	0.9762724596516622	0.8372119395173563	0.0	0.0	1.3751816254989813	1.100272107888638	1.5767847469944924	0.8808199533373119	1.3937473312338868	1.163667501006328	0.0	0.904779183021553	0.0	0.6458513992187568	-16697.059085729747	0.09721461879411004
8000	-325215.2580847521	-290851.0075977651	-34364.250486986966	-283119.21791775356	108.72943730020226	1323.5394487975973	0.3704752541192148	0.4076601209924466	1.0493560584597952	3.1828955521203555	0.22046940633900988	0.810126137987597	0.3319185775409399	0.19420106495913905	0.18739537388115424	0.2565173355861393	0.36188622557356737	11.056123815286742	-17626.815614734864	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0.9764960299521284	0.9528055453797772	0.9170613249805192	0.939112925000292	0.9962299906538219	1.4259144039371472	1.082032761407246	1.6397868901505503	0.9044542730256439	1.3859124998684174	1.132999361433356	0.8998880748411305	0.9567142836370762	1.0355115559071149	0.6457534071894417	3.383181052214102	0.9764960299521284	0.9528055453797772	0.9170613249805192	0.0	0.0	1.4259144039371472	1.082032761407246	1.6397868901505503	0.9044542730256439	1.3859124998684174	1.132999361433356	0.0	0.9567142836370762	0.0	0.6457534071894417	-16690.47043153286	0.09721461879411004
9000	-324658.7569495223	-290114.9315881869	-34543.825361335446	-282392.7598994421	108.74393045145847	1345.9577665193756	0.3704752541192148	0.4076601209924466	1.0493560584597952	3.1828955521203555	0.22046940633900988	0.810126137987597	0.3319185775409399	0.19420106495913905	0.18739537388115424	0.2565173355861393	0.36188622557356737	11.056123815286742	-17804.26760053589	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0.9907671546034559	0.9108414239025344	0.866194898754303	0.7952397217899063	1.1055972109342154	1.4873846663069314	1.1598801644158045	1.7479127780603854	0.8130448963993289	1.4091098122304844	1.1973547207003996	0.9518852184935805	0.9029124711703834	0.9409233065285159	0.5830905530347263	3.290094406159273	0.9907671546034559	0.9108414239025344	0.866194898754303	0.0	0.0	1.4873846663069314	1.1598801644158045	1.7479127780603854	0.8130448963993289	1.4091098122304844	1.1973547207003996	0.0	0.9029124711703834	0.0	0.5830905530347263	-16692.649819744216	0.09721461879411004
10000	-317120.53383697406	-281340.697539606	-35779.83629736805	-273635.5322510732	109.17866978995556	1511.9308535790756	0.25491255955432507	0.30701202435591757	0.8228439628935881	4.242469407181996	0.16313580873762895	0.36279196230147287	0.4034330435978917	0.11661794582955773	0.24321202163723282	0.2339590642997005	0.4062109682335089	18.617076259004122	-19023.901124587468	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1.0078082214990707	0.8851084904625626	0.7977934556685203	0.7625793895498064	1.0650668701756716	1.569850922519445	1.1236620887187907	1.9695614511952888	0.8403581426138346	1.3439265111938175	1.1974302478027568	0.9660640027634988	0.8559540611806479	0.9879892697653946	0.6137966753832191	2.8461202363851688	1.0078082214990707	0.8851084904625626	0.7977934556685203	0.0	0.0	1.569850922519445	1.1236620887187907	1.9695614511952888	0.8403581426138346	1.3439265111938175	1.1974302478027568	0.0	0.8559540611806479	0.0	0.6137966753832191	-16708.78483013284	0.09721461879411004
