cluster_id,source_continent,cluster_root_date,cluster_root_absolute_time,cluster_size,first_tip_date,last_tip_date,tip_names,tip_dates
cluster_001,Asia,1999-08-11,1999.61031,3,2004-04-15,2008-05-14,PP_003BGA7.1/2004-04-15/North_America/456/D4;PP_0037QGV.1/2006-04-29/North_America/456/D4;PP_0037G9H.1/2008-05-14/North_America/450/D4,2004-04-15;2006-04-29;2008-05-14
cluster_002,Asia,2003-05-14,2003.367123,1,2003-05-14,2003-05-14,PP_003BG99.1/2003-05-15/North_America/456/D5,2003-05-15
cluster_003,Asia,2004-05-14,2004.368852,1,2004-05-14,2004-05-14,PP_003BGB5.1/2004-05-15/North_America/456/H1,2004-05-15
cluster_004,Europe,2005-06-15,2005.453294,1,2006-04-14,2006-04-14,PP_003B2ED.1/2006-04-15/North_America/456/D4,2006-04-15
cluster_005,Africa,2005-10-14,2005.786301,1,2005-10-14,2005-10-14,PP_003BGEZ.1/2005-10-15/North_America/456/B2,2005-10-15
cluster_006,Africa,2005-12-15,2005.953425,1,2005-12-15,2005-12-15,PP_003BGFX.1/2005-12-15/North_America/456/B3,2005-12-15
cluster_007,Oceania,2006-05-24,2006.394521,1,2006-05-24,2006-05-24,PP_003B2DF.1/2006-05-25/North_America/456/D8,2006-05-25
cluster_008,Europe,2007-04-23,2007.306849,1,2007-04-23,2007-04-23,PP_0037QB5.1/2007-04-23/North_America/456/D4,2007-04-23
cluster_009,Asia,2007-05-29,2007.406821,4,2008-02-04,2008-05-29,PP_0037C13.1/2008-02-04/North_America/456/D5;PP_0037C21.1/2008-02-28/North_America/456/D5;PP_0037C7R.1/2008-04-25/North_America/456/D5;PP_0037FX7.1/2008-05-30/North_America/450/D5,2008-02-04;2008-02-28;2008-04-25;2008-05-30
cluster_010,Europe,2007-06-26,2007.484845,2,2007-08-13,2007-09-18,PP_0037QC3.1/2007-08-14/North_America/456/D4;PP_0037QD1.1/2007-09-18/North_America/456/D4,2007-08-14;2007-09-18
cluster_011,Europe,2007-10-22,2007.807813,4,2009-02-20,2011-04-14,PP_0037S1P.1/2009-02-20/North_America/450/D8;PP_0038GUA.1/2010-03-15/North_America/456/D8;PP_0039GJU.1/2011-03-15/North_America/450/D8;PP_0039GTA.1/2011-04-15/North_America/450/D8,2009-02-20;2010-03-15;2011-03-15;2011-04-15
cluster_012,Europe,2008-02-01,2008.085287,2,2008-04-01,2009-02-26,PP_0037C4X.1/2008-04-01/North_America/456/D4;PP_003CC7F.1/2009-02-26/North_America/456/D4,2008-04-01;2009-02-26
cluster_013,Europe,2008-04-01,2008.251366,1,2008-04-01,2008-04-01,PP_0037C3Z.1/2008-04-02/North_America/456/D4,2008-04-02
cluster_014,Europe,2008-04-21,2008.303476,1,2008-07-08,2008-07-08,PP_0037JW6.1/2008-07-08/North_America/456/D5,2008-07-08
cluster_015,Europe,2008-10-25,2008.814623,2,2008-12-11,2008-12-12,PP_0037QLL.1/2008-12-12/North_America/450/D4;PP_0037QKN.1/2008-12-13/North_America/450/D4,2008-12-12;2008-12-13
cluster_016,Asia,2008-11-13,2008.86732,1,2009-03-25,2009-03-25,PP_0037SB3.1/2009-03-25/North_America/450/D8,2009-03-25
cluster_017,Europe,2008-12-08,2008.934605,13,2009-02-05,2015-01-14,PP_00380ZG.1/2009-02-06/North_America/450/D4;PP_00380DP.1/2009-05-20/North_America/450/D4;PP_00380GH.1/2009-05-25/North_America/450/D4;PP_003810E.1/2009-06-15/North_America/450/D4;PP_003CC6H.1/2009-07-05/North_America/456/D4;PP_003NFMW.1/2011-02-04/North_America/15900/D4;PP_003NF8P.1/2011-04-26/North_America/15900/D4;PP_003NEXB.1/2011-05-12/North_America/15900/D4;PP_003NEFA.1/2011-05-29/North_America/15900/D4;PP_0039TLD.1/2011-06-15/North_America/450/D4;PP_0039ZUR.1/2011-06-15/North_America/456/D4;PP_003NDK2.1/2011-06-21/North_America/15900/D4;PP_003DHXT.1/2015-01-15/North_America/450/D4,2009-02-06;2009-05-20;2009-05-25;2009-06-15;2009-07-05;2011-02-04;2011-04-26;2011-05-12;2011-05-29;2011-06-15;2011-06-15;2011-06-21;2015-01-15
cluster_018,Asia,2009-04-19,2009.29654,1,2010-03-15,2010-03-15,PP_0038KT9.1/2010-03-15/North_America/450/D8,2010-03-15
cluster_019,Asia,2009-05-08,2009.350685,1,2009-05-08,2009-05-08,PP_00380FK.1/2009-05-09/North_America/450/H1,2009-05-09
cluster_020,Africa,2009-06-27,2009.484932,1,2009-06-27,2009-06-27,PP_00384J8.1/2009-06-27/North_America/450/B3,2009-06-27
cluster_021,Europe,2009-07-04,2009.506849,1,2009-07-04,2009-07-04,PP_00380XL.1/2009-07-05/North_America/450/D4,2009-07-05
cluster_022,Europe,2009-09-19,2009.715344,2,2010-02-15,2011-06-15,PP_0038GQJ.1/2010-02-15/North_America/450/D4;PP_0039TWT.1/2011-06-15/North_America/453/D4,2010-02-15;2011-06-15
