clade_id,source_continent,root_date,intro_month,cluster_size,size_category,persistence_days,most_recent_tip,root_absolute_time
1,Europe,2008-02-01,Feb,2,2-4,390.14,2009-02-26,2008.085287
2,Europe,2011-03-12,Mar,2,2-4,94.93,2011-06-15,2011.192152
3,Africa,2011-03-29,Mar,4,2-4,231.02,2011-11-15,2011.238726
4,Europe,2010-03-18,Mar,122,10+,759.09,2012-04-15,2010.208617
5,Europe,2011-01-03,Jan,1,Singleton,0.0,2011-01-03,2011.005899
6,Africa,2011-07-15,Jul,1,Singleton,116.83,2011-11-09,2011.53492
7,Europe,2008-12-08,Dec,13,10+,2229.4,2015-01-14,2008.934605
8,Europe,2011-05-24,May,2,2-4,23.22,2011-06-16,2011.393953
9,Europe,2010-12-16,Dec,6,5-9,180.7,2011-06-15,2010.957327
10,Europe,2008-10-25,Oct,2,2-4,48.75,2008-12-12,2008.814623
11,Europe,2010-12-11,Dec,1,Singleton,65.72,2011-02-15,2010.943359
12,Europe,2005-06-15,Jun,1,Singleton,303.76,2006-04-14,2005.453294
13,Europe,2007-06-26,Jun,2,2-4,83.09,2007-09-18,2007.484845
14,Europe,2009-09-19,Sep,2,2-4,634.33,2011-06-15,2009.715344
15,Asia,1999-08-11,Aug,3,2-4,3198.06,2008-05-14,1999.61031
16,Europe,2008-04-21,Apr,1,Singleton,77.77,2008-07-08,2008.303476
17,Asia,2007-05-29,May,4,2-4,366.35,2008-05-29,2007.406821
18,Asia,2010-01-22,Jan,1,Singleton,112.71,2010-05-14,2010.058548
19,Oceania,2013-11-19,Nov,13,10+,238.09,2014-07-14,2013.882385
20,Europe,2011-03-19,Mar,2,2-4,26.47,2011-04-14,2011.212471
21,Asia,2010-04-20,Apr,1,Singleton,512.66,2011-09-15,2010.30053
22,Asia,2010-08-25,Aug,3,2-4,173.18,2011-02-15,2010.649144
23,Asia,2014-04-01,Apr,2,2-4,74.31,2014-06-15,2014.248601
24,Europe,2015-01-07,Jan,1,Singleton,66.35,2015-03-15,2015.018332
25,Asia,2011-08-19,Aug,2,2-4,239.75,2012-04-15,2011.630477
26,Asia,2011-02-27,Feb,3,2-4,199.77,2011-09-15,2011.157159
27,Asia,2014-02-17,Feb,3,2-4,86.31,2014-05-14,2014.130824
28,Oceania,2013-07-07,Jul,3,2-4,38.97,2013-08-15,2013.512473
29,Oceania,2014-09-11,Sep,4,2-4,156.53,2015-02-15,2014.694725
30,Europe,2007-10-22,Oct,4,2-4,1270.02,2011-04-14,2007.807813
31,Oceania,2013-01-19,Jan,1,Singleton,85.98,2013-04-14,2013.049534
